,index,product,category,sub_category,brand,sale_price,market_price,type,rating,description
23352,23353,Root Hair Oil,Beauty & Hygiene,Hair Care,Nisargalaya,226.0,226.0,Hair Oil & Serum,4.5,"Nisarga Root Oil strengthens hair roots, and vitalizes it internally. Nisarga Root Oil plays by initiating the inactive hair roots to absorb the nutrients provided by food or medicine, also Nisarga Root Oil stimulates hepatofunctions, assists restore hemoglobin and provides necessary salt and minerals for the healthy growth of the hair.  For Beauty tips, tricks & more visit https://bigbasket.blog/"
23613,23614,Neemraj Oil,Beauty & Hygiene,Hair Care,Indulekha,410.4,432.0,Hair Oil & Serum,4.1,"Indulekha Neemraj Oil is a Proprietary Ayurvedic Medicine which treats Dandruff, Grows New Hair. It is 100% Ayurvedic Oil which is Clinically Proven to Treat Dandruff and Grow New Hair in 4 months. This oil is Proven on Real Male and Female consumers having Dandruff problems and suffering from itchy scalp. This oil is formulated by using fresh leaves of Neem and Svetakutaja knew for their Anti Dandruff Properties. Indulekha Neemraj oil also contains Bringharaj and Aloe vera to restore scalp health, Amla, Yashti, Draksha to provide Antioxidant properties and has Virgin Coconut Oil which is the purest form of Coconut oil. This oil is rich in Nutrients, Antioxidants and Minerals which helps in strengthening air follicles and prevents hair thinning. Indulekha Neemraj Oil has 100% natural fragrance and colour and is free from Parabens, Sulphates, Silicones, Synthetic dyes and Artificial Perfume. This oil also does not contain any added preservatives. It comes with a unique easy to apply selfie comb which helps in dispensing the oil directly on to the scalp where it is required for Anti-Dandruff action. For best results use 3 times a week for 4 months, post applying the oil leave it for 3-4 hours and then rinse it off using Indulekha Bringha Shampoo."
23710,23711,Hair Oil - Daily Care Nourishing,Beauty & Hygiene,Hair Care,Clinic Plus,95.0,95.0,Hair Oil & Serum,4.3,"The Clinic Plus Nourishing Hair Oil strengthens and nourishes your hair each time you massage it on your scalp. With a gentle, daily care formula, it contains a blend of mineral and coconut oils for that special shine and additional care. You can also apply this to your hair after washing it to let it soak in for a few days. Apply this oil from root to tip so that it works its magic both on your hair and scalp. And you dont need to worry about stepping out with it, because its not that greasy! Go ahead, gift yourself some deep nourishment.Features & Benefits- Clinic plus nourishing hair oil contains coconut oil It nourishes your hair from root to tipCan be used by the whole familyMakes your hair stronger, healthier and full of life.Suitable for all hair typesApply this 12-24 hours before you wash your hair and you are ready with lustrous hair  For Beauty tips, tricks & more visit https://bigbasket.blog/"
23746,23747,Bio Believe-In-Organic - Skin Care Oil,Beauty & Hygiene,Hair Care,Indus Valley,499.0,499.0,Hair Oil & Serum,4.7,"Bio- Believe in Organic Skin Care Oil is a moisturising oil that helps to improve uneven skin tones, scars & stretch marks. The powerful formula helps in reducing the ageing of the skin by moisturising & hydrating skin. It has a blend of essential oils from Europe, Shea butter from Africa, plant extracts from Ayurveda and Vitamins E & A. All this makes it unique and multipurpose applicator. It is a great supplement to the skin, and tend to restore its moisture. It helps in making skin suppler, softer & smoother. It also helps in reducing the possibility of stretch marks during & after pregnancy. It hydrates the skin to improve its texture. It is a perfect anti-ageing treatment."
23776,23777,Hair Oil For Dandruff Free Hair,Beauty & Hygiene,Hair Care,Organic Harvest,452.2,595.0,Hair Oil & Serum,5.0,"Hair Oil For Dandruff Free Hair removes dandruff from the scalp and strengthens the hair follicles. Tea tree, geranium, lemon and BHT."
23907,23908,Bio Bhringraj Therapeutic Oil For Falling Hair - Intensive Hair Growth Treatment,Beauty & Hygiene,Hair Care,BIOTIQUE,712.5,950.0,Hair Oil & Serum,4.2,"This intensive formula features pure bhringraj, butea frondosa, amla and centella which is blended with coconut oil and the healthfulness of goat milk to help treat alopecia and other causes of hair loss. Biotique Bio Bhringraj Therapeutic Oil Intensive Hair Regrowth Treatment nourishes the scalp and strengthens the hair strands to encourage fresh growth. This amazing formula also helps in diminishing greying."
24044,24045,Coconut Oil - 100 % Pure,Beauty & Hygiene,Hair Care,Parachute ,20.0,20.0,Hair Oil & Serum,4.3,"100% Coconut Oil  For Beauty tips, tricks & more visit https://bigbasket.blog/"
24652,24653,Hair Naturals - Scalp Detoxifying Tonic,Beauty & Hygiene,Hair Care,Kaya Clinic,679.15,799.0,Hair Oil & Serum,4.5,"Kaya Hair Naturals Scalp Detoxifying Tonic Scalp Detoxifying Tonic is an advanced scalp & hair nourishing formulation enriched with the power of 3 natural actives- Hibiscus, Ginger & Onion which helps regenerate hair follicles & promote hair growth. It has natural Cellular Oxygen Boost Technology that helps in improving microcirculation of the scalp giving you healthy-looking hair. The tonic is also infused with a natural complex of Black Pepper & Inga Alba bark extracts, which restores natural scalp health and protects the scalp from further damage. This unique pH balanced formula is free from Sulfates, Silicones & Parabens and helps to keep the scalp hydrated and nourished."
24833,24834,Rushikesh Bringa Oil,Beauty & Hygiene,Hair Care,Akshara Herbals,365.0,365.0,Hair Oil & Serum,5.0,"Rushikesh Bringa Oil prevents dandruff, controls hair fall and helps in growth of new hair. The herbs used in this oil gives extra nutrition to the scalp by facilitating blood circulation to the scalp, strengthening hair roots, adding shine and luster to the hair and stimulating hair growth. Massaging hair with this nutrient-rich hair oil provides extra nutrition as it nourishes the scalp keeping hair healthy.  For Beauty tips, tricks & more visitÃ‚ https://bigbasket.blog/"
25156,25157,Akshara Castor Oil,Beauty & Hygiene,Hair Care,Akshara Herbals,40.0,40.0,Hair Oil & Serum,4.3,"Akshara Castor Oil is 100% Pure Natural Oil obtained by pressing the seeds of the Ricinus Communis (Castor) plant, rich in Vitamin E, essential fatty acids, minerals and proteins. Castor Oil may be taken internally for its laxative action, or used externally for its emollient effect on the skin.  For Beauty tips, tricks & more visitÂ https://bigbasket.blog/"
25965,25966,Bhringraj Multi-Vitaliser Hair Oil,Beauty & Hygiene,Hair Care,Aloe Veda,265.5,295.0,Hair Oil & Serum,5.0,"This Bhringraj Multi-Vitaliser Hair Oil is made with Bhringraj (Eclipta Alba) Oil and natural herbs including Neela Amari Oil (Indigofera Tinctoria), Amla (Emblica Officinalis) Extracts, Indian Liquorice Root (Abrus Precatorius) Extracts, Yashtimadhu (Glycyrrhiza Glabra) Extracts, Sakralata (Cardiospermum Helicacabum) Extracts and Anjanam in a base of Virgin Coconut Oil, Coconut Milk, Goats Milk, Cow Milk and Buffalo Milk.Use this tonic regularly, and it will nourish and condition the scalp from the roots, which will strengthen the hair follicles and thus preventing hair-fall, controls dandruff, promotes hair regrowth, revives dull and brittle hair and prevents early greying of hair. Amla oil enriches hair growth and pigmentation and Anjanam imparts a blackish-tint to the hair."
26040,26041,Hair Oil - Daily Care Nourishing,Beauty & Hygiene,Hair Care,Clinic Plus,45.0,45.0,Hair Oil & Serum,4.2,"The Clinic Plus Nourishing Hair Oil strengthens and nourishes your hair each time you massage it on your scalp. With a gentle, daily care formula, it contains a blend of mineral and coconut oils for that special shine and additional care. You can also apply this to your hair after washing it to let it soak in for a few days. Apply this oil from root to tip so that it works its magic both on your hair and scalp. And you dont need to worry about stepping out with it, because its not that greasy! Go ahead, gift yourself some deep nourishment.Features & Benefits- Clinic plus nourishing hair oil contains coconut oil It nourishes your hair from root to tipCan be used by the whole familyMakes your hair stronger, healthier and full of life.Suitable for all hair typesApply this 12-24 hours before you wash your hair and you are ready with lustrous hair  For Beauty tips, tricks & more visit https://bigbasket.blog/"
26261,26262,Shanti - Badam Amla Hair Oil,Beauty & Hygiene,Hair Care,Nihar,15.0,20.0,Hair Oil & Serum,4.2,"For Beauty tips, tricks & more visit https://bigbasket.blog/"
26274,26275,Herbal Hair Serum,Beauty & Hygiene,Hair Care,Khadi Natural,200.0,235.0,Hair Oil & Serum,4.6,"Herbal hair serum is an amazing frizz free formula instantly makes silky smoothness into hair cuticles. It is an instant solution for dry, tangled and unmanageable hair and hair serum will make your hair feel totally smooth and exceptionally light. This deep smoothing serum has several natural ingredients and taming polymers."
26433,26434,Organic Extra Virgin Olive Oil - Pure Coldpressed Oil For Hair,Beauty & Hygiene,Hair Care,Morpheme Remedies,449.0,449.0,Hair Oil & Serum,4.3,"From moisturising your skin to helping you fight the appearance of ageing. Olive oil contains a good amount of Vitamin E, an antioxidant that protects the skin from various external factors. Olive oil, in combination with a few other ingredients, can work wonders to keep your hair healthy. The oil is rich in Vitamin E that helps fight hair loss. Just rub a few drops of olive oil on flyaway ends after styling for an extra-glossy finish."
26682,26683,Hair Oil - Kesh Kanti,Beauty & Hygiene,Hair Care,Patanjali,250.0,250.0,Hair Oil & Serum,4.2,"Provide deep nourishment and strengthen the hair roots, prevent hair fall and dandruff, prevent graying hair and split ends. Useful in sleeplessness and headache. Method of application: Before going to bed at night take required quantity of oil and massage gentle over hair and scalp, leave for overnight may wash in the morning.  For Beauty tips, tricks & more visit https://bigbasket.blog/"
27445,27446,Organic Virgin Coconut Oil - Pure Coldpressed & Undiluted Oil,Beauty & Hygiene,Hair Care,Morpheme Remedies,427.0,449.0,Hair Oil & Serum,5.0,"Virgin coconut oil is a pure, unrefined, cold pressed oil extracted from fresh coconut milk. The cold process method ensures that all the vital nutrients and the natural goodness of fresh coconuts are retained. This is considered the highest quality and healthiest form of coconut oil. Coconut oil can help improve the texture, evenness of tone, pore size, and luminosity of your skin. Coconut oil helps keep your hair fully moisturised, it promotes full growth and creates strong hair whilst keeping the scalp free from flakes. Coconut oil acts as an antioxidant. It protects skin cells from UV light, pollution and the negative effects of smoke and other free radicals. Its anti-fungal, antiviral and anti-bacterial properties make it an excellent oil for body massage."
